Date,Africa,TheAmericas,"Australia,NewZealand&SouthPacific",Europe,MiddleEast,NorthAsia,South&SoutheastAsia,Taiwan,ThemainlandofChina,Macao,Total
2011-01-01,14470,141504,71946,143205,14927,215919,243083,182703,2503151,67122,3598030
2011-02-01,8914,107691,42858,121715,11177,190027,208270,165779,2008173,58466,2923070
2011-03-01,18778,170788,65442,176988,17926,180496,324999,158922,2009130,63402,3186871
2011-04-01,21341,171679,72112,179957,21580,159448,327629,197775,2136896,69543,3357960
2011-05-01,15733,150615,59579,135314,14217,177978,335874,164192,2115413,61113,3230028
2011-06-01,14074,144106,58797,109883,14029,172703,347762,184330,1924603,64935,3035222
2011-07-01,16175,151001,62401,132946,21706,189009,295771,216518,2677326,76535,3839388
2011-08-01,14438,131941,51384,145843,12581,223352,286781,195320,2914914,89207,4065761
2011-09-01,17007,134624,67953,133812,16549,185881,304734,174058,2094360,58113,3187091
2011-10-01,20541,189463,76795,199860,22080,181354,310435,180869,2542465,70214,3794076
2011-11-01,15655,176851,60740,178692,18161,200829,335613,155883,2343939,66370,3552733
2011-12-01,16505,150833,67864,143128,14412,227687,430198,172384,2829759,98310,4151080
2012-01-01,10593,130596,69745,139746,11320,204309,227883,178187,3101578,68037,4142042
2012-02-01,10759,128239,50286,156909,14026,233089,259111,162578,2296814,59350,3371202
2012-03-01,17173,167827,66145,186708,15896,210918,329028,154942,2497061,63750,3709484
2012-04-01,19467,175533,68476,183605,19784,167079,325477,167046,2647026,66649,3840180
2012-05-01,13896,154497,54992,140757,13760,181478,337150,151920,2525600,64841,3638934
2012-06-01,13349,142254,60110,118705,16145,183880,322301,178865,2514688,70592,3620912
2012-07-01,13942,143604,57773,132425,15687,199823,261583,203164,3264385,77343,4369786
2012-08-01,11969,127099,50510,138751,14343,241040,295529,195587,3727949,95982,4898843
2012-09-01,15301,130329,70437,135478,14668,179919,247091,171251,2751427,69079,3785018
2012-10-01,17018,175520,69127,196909,20982,163088,291921,171675,3064966,72523,4243787
2012-11-01,14379,164120,56178,186261,15066,171006,336516,163147,3040360,69872,4216937
2012-12-01,16081,138224,67016,151461,14675,197431,418213,190383,3479541,104924,4777988
2013-01-01,12909,135513,69903,157866,14669,203158,275588,165849,3526182,71262,4632926
2013-02-01,6690,103787,38400,125165,9558,162945,191353,183751,3132415,68031,4022120
2013-03-01,16860,165247,68459,200082,18764,183919,351684,165455,2842002,74772,4087286
2013-04-01,18858,163992,66608,188459,19857,152926,321524,174210,3110141,63290,4279889
2013-05-01,13758,137908,54000,150652,13225,162488,335432,145684,3053892,75238,4142301
2013-06-01,13326,128934,56478,121876,15097,153876,315277,168843,3150563,77036,4201331
2013-07-01,12464,130612,55960,133752,12208,167042,261278,194392,3777462,86302,4831521
2013-08-01,12372,113990,47138,139095,20705,202617,297945,194991,4224639,104556,5358087
2013-09-01,14150,121551,67149,133177,15113,175968,251448,177158,3283859,69715,4309304
2013-10-01,16071,170851,69449,203745,21485,174378,309793,180455,3406001,79775,4632034
2013-11-01,14546,157829,56561,187279,15108,190244,362139,168360,3348121,79472,4579681
2013-12-01,16652,135348,67314,152578,15510,211015,444515,180950,3890000,108417,5222324
2014-01-01,11889,127600,63660,155653,14748,211823,267541,174123,4347400,80919,5455371
2014-02-01,7847,109793,40223,134083,11481,192901,233735,160650,3458215,68426,4417376
2014-03-01,16651,159449,59275,191736,18380,203120,345293,156305,3601086,73918,4825234
2014-04-01,18104,158504,79555,188812,20256,163543,306491,164515,3568064,80095,4747960
2014-05-01,13916,144133,56131,150417,14062,185170,337463,162807,3452734,73731,4590579
2014-06-01,12468,133968,56838,114866,13678,182111,329658,173373,3395330,80387,4492695
2014-07-01,11346,132801,58059,131238,12966,190399,287512,197349,4261796,90019,5373518
2014-08-01,13701,118466,47956,136564,20765,228435,243168,190162,4896001,114338,6009577
2014-09-01,14067,130850,66613,136347,15185,199343,260695,167789,3681736,74142,4746782
2014-10-01,15977,166271,68587,196651,19606,186719,289479,167214,4027944,75233,5213702
2014-11-01,14148,157673,54691,182978,13977,184299,306795,148294,4155524,81291,5299680
2014-12-01,16449,139575,63891,143926,13444,201950,406959,169302,4401845,109003,5666362
2015-01-01,12591,136906,66155,149626,15118,229594,273160,155775,4490420,80336,5609698
2015-02-01,7042,108629,34404,116852,9468,182134,165640,156054,4551825,73635,5405689
2015-03-01,14483,163919,57592,184233,15790,201681,298186,154032,3240825,74547,4405298
2015-04-01,16402,169157,64908,185962,18539,169566,309055,169870,3604713,80912,4789112
2015-05-01,14122,145486,55817,138129,12624,202597,327231,153392,3625308,81491,4756215
2015-06-01,12250,133998,55357,114248,11334,148545,304041,167791,3333433,80225,4361228
2015-07-01,12282,132320,53368,129084,15756,162350,293147,187517,3845273,92316,4923431
2015-08-01,12349,120718,44346,133439,17414,191618,240408,189843,4550148,114561,5614852
2015-09-01,12436,128582,62717,134131,16239,190445,261798,165810,3509432,77201,4558800
2015-10-01,14908,170672,66077,200278,18001,187816,302603,175069,3857524,80534,5073494
2015-11-01,12884,169511,56990,189786,14194,206198,349406,160707,3512410,76619,4748715
2015-12-01,15601,148196,63431,153597,15927,220021,434383,179937,3721049,108906,5061064
2016-01-01,12085,141967,61800,159926,15664,238302,301606,174325,4043000,76895,5225578
2016-02-01,6536,110571,33785,130330,9678,199101,202333,160592,3367736,75049,4295731
2016-03-01,13712,165609,60864,191114,16847,199024,324452,149242,3017173,75748,4213801
2016-04-01,15929,170091,69936,194096,17856,181550,329623,176018,3459000,72200,4686316
2016-05-01,11390,145025,57558,142828,13352,189312,343260,150573,3322758,77051,4453118
2016-06-01,10508,137244,55873,114642,8850,179449,319470,176169,3206043,77465,4285730
2016-07-01,11944,132586,54475,134968,16605,189687,296427,185051,3930526,96736,5049022
2016-08-01,10827,120428,42976,140769,16376,216626,226061,174341,4037005,101070,5086496
2016-09-01,11754,134703,61128,135374,17575,214627,270860,168311,3333627,74470,4422441
2016-10-01,14130,176312,67826,210357,16346,197635,307059,161813,3723837,78384,4953705
2016-11-01,11701,177724,55317,192652,13610,235342,343238,153844,3388958,74536,4646938
2016-12-01,14802,161078,62508,157820,13502,244041,437407,181149,3948482,115218,5336027
2017-01-01,9408,143372,58895,152130,12714,232426,265508,164020,4353505,83192,5475176
2017-02-01,6705,119320,37537,140447,10777,252816,236713,165183,3138728,73187,4181417
2017-03-01,11770,169079,52630,187820,16017,252483,332297,160589,3330769,72726,4586186
2017-04-01,15476,173200,74981,203417,17811,189824,329358,166892,3521932,82938,4775834
2017-05-01,10812,142787,50139,140861,11433,213033,325114,166827,3450028,75968,4587014
2017-06-01,8523,141279,57284,117918,10847,197742,335055,163588,3097716,73297,4203256
2017-07-01,10806,139161,55789,134927,14206,196487,264025,180352,4077183,94758,5167700
2017-08-01,9460,120618,43986,135456,15684,242059,229376,177920,3955989,92881,5023433
2017-09-01,10841,125603,64829,134911,14312,220311,258269,157363,3572769,75948,4635161
2017-10-01,12845,167229,65127,198611,16879,231859,298480,174188,4033473,79972,5278677
2017-11-01,10272,178481,59569,196297,14338,247170,343769,159009,3680755,81448,4971119
2017-12-01,13825,161690,66361,158656,15090,241470,408194,174824,4232412,114652,5587184